date,band,venue,public_url,setlist,note
2019-11-23,Microwave,The Foundry,https://www.dropbox.com/sh/ubjvj2kva6oqk9e/AADoUvsGIg2jTI-bZGG7byu6a?dl=0,https://www.setlist.fm/setlist/microwave/2019/the-foundry-at-the-fillmore-philadelphia-pa-5b9a3f80.html,
2019-11-23,Heart Attack Man,The Foundry,,,
2019-11-20,La Dispute,Union Transfer,https://www.dropbox.com/sh/oajdmm1gxi25jrz/AAAR1smAqUc9C0ddghwD2bxDa?dl=0,https://www.setlist.fm/setlist/la-dispute/2019/union-transfer-philadelphia-pa-539adbb5.html,
2019-11-20,Touche Amore,Union Transfer,https://www.dropbox.com/sh/xdetw85dj64tqrn/AAAmvoWT6ykxsp8QBy2Xv_Xba?dl=0,,
2019-11-20,Empath,Union Transfer,,,
2019-09-11,PUP,Franklin Music Hall (Electric Factory),https://www.dropbox.com/sh/afhmx9e4rggpfo4/AABexh1dQP32DNjIfALbNsLVa?dl=0,https://www.setlist.fm/setlist/pup/2019/franklin-music-hall-philadelphia-pa-339c80b1.html,
2019-09-11,Illuminati Hotties,Franklin Music Hall (Electric Factory),,,
2019-09-11,AJJ,Franklin Music Hall (Electric Factory),https://www.dropbox.com/sh/0kwzerxd105q2od/AAB3JCxA69iL18mZcGNByVqra?dl=0,https://www.setlist.fm/setlist/ajj/2019/franklin-music-hall-philadelphia-pa-639c82eb.html,
2019-08-22,Pedro the Lion,Variety Playhouse,https://www.dropbox.com/sh/gnxymsfzrf80i29/AADTwKp3S-YUBmSDHPv3YI7Aa?dl=0,https://www.setlist.fm/setlist/pedro-the-lion/2019/variety-playhouse-atlanta-ga-639f323f.html,
2019-08-22,mewithoutYou,Variety Playhouse,https://www.dropbox.com/sh/ayxeolhbytuk9vd/AADAMBEibMiCUCQQE1QXooaBa?dl=0,https://www.setlist.fm/setlist/mewithoutyou/2019/variety-playhouse-atlanta-ga-6b9f323e.html,
2019-06-22,Hot Water Music,Underground Arts,https://www.dropbox.com/sh/36n9ka69ulx6szg/AACGnsk1FKJNyYQp1AcU_9W8a?dl=0,https://www.setlist.fm/setlist/hot-water-music/2019/underground-arts-philadelphia-pa-63911643.html,
2019-06-22,Boysetsfire,Underground Arts,https://www.dropbox.com/sh/ifl4do5f624nusw/AADXjGt8WI1qz2J1XQiDmrfoa?dl=0,https://www.setlist.fm/setlist/restorations/2019/underground-arts-philadelphia-pa-1391695d.html,
2019-06-22,Restorations,Underground Arts,https://www.dropbox.com/sh/ky0i97bbylqg63s/AABFGOA1RGqABM_n9ys6xPqTa?dl=0,,
2019-05-07,Pedro the Lion,Union Transfer,https://www.dropbox.com/sh/fw94wydlxr0nzpj/AACKrzn_wj6yfJ0rwTf09e81a?dl=0,https://www.setlist.fm/setlist/pedro-the-lion/2019/union-transfer-philadelphia-pa-4b90ff6e.html,
2019-05-07,John Vanderslice,Union Transfer,,,
2019-04-21,La Dispute,Union Transfer,https://www.dropbox.com/sh/xd1rvajikqlltbr/AACDVVRvvtfRY-euYTuDS0Gza?dl=0,https://www.setlist.fm/setlist/la-dispute/2019/union-transfer-philadelphia-pa-393595b.html,
2019-04-21,Gouge Away,Union Transfer,gouge away,,
2019-04-21,Slow Mass,Union Transfer,,,
2019-03-10,Touche Amore,First Unitarian Church,,https://www.setlist.fm/setlist/touche-amore/2019/first-unitarian-church-philadelphia-pa-2b93301e.html,
2019-03-10,Pianos Become the Teeth,First Unitarian Church,,https://www.setlist.fm/setlist/pianos-become-the-teeth/2019/first-unitarian-church-philadelphia-pa-4b9b5f56.html,
2019-03-10,Soul Glo,First Unitarian Church,,,
2018-12-01,Circa Survive,The Fillmore,,https://www.setlist.fm/setlist/circa-survive/2018/the-fillmore-philadelphia-philadelphia-pa-63974a47.html,
2018-12-01,La Dispute,The Fillmore,,https://www.setlist.fm/setlist/la-dispute/2018/the-fillmore-philadelphia-philadelphia-pa-6b974a3e.html,
2018-12-01,Queen of Jeans,The Fillmore,,,
